"ROLE_ID","FUNCTION_CODE","PERMISSIONS_SUM","OPTIMISTICLOCKVERSION"
"5","ADJUSTMENT","16","0"
"5","APPROVAL_RECORD_LIST","16","0"
"5","CASH_OUT","16","0"
"5","DEPOSIT","16","0"
"5","EXCHANGE_RATE","16","0"
"5","MONEY_POOL_APPROVAL_LIST","16","0"
"5","PREPRODUCTION","16","0"
"5","PRODUCTION","16","0"
"5","SERVICE_MARKUP","16","0"
"5","VOID_CHARGE","16","0"
"5","VOID_CHARGE_CHARGE_FEE","16","0"
"5","VOID_CHARGE_FEE","16","0"
"7","ADJUSTMENT","16","0"
"7","API_GATEWAY_SETTING","16","0"
"7","APPROVAL_RECORD_LIST","16","0"
"7","CASH_OUT","16","0"
"7","CREATE_INDIVIDUAL_MONEY_POOL","16","0"
"7","CREATE_PARTICIPANT","16","0"
"7","DEPOSIT","16","0"
"7","EDIT_MONEY_POOL_STATUS_AND_ALERT_LINE","16","0"
"7","EXCHANGE_RATE","16","0"
"7","FULL_COMPANY_INFORMATION","16","0"
"7","MONEY_POOL_APPROVAL_LIST","16","0"
"7","PARTICIPANT_MANAGEMENT_APPROVAL_LIST","16","0"
"7","PARTICIPANT_STATUS_CHANGE","16","0"
"7","PREPRODUCTION","16","0"
"7","PRODUCTION","16","0"
"7","SERVICE_MARKUP","16","0"
"7","SERVICE_POOL_ASSIGNMENT","16","0"
"7","SERVICE_SETTING","16","0"
"7","SETTLEMENT_CUT_OFF_TIME_SETTING","16","0"
"7","VOID_CHARGE","16","0"
"7","VOID_CHARGE_CHARGE_FEE","16","0"
"7","VOID_CHARGE_FEE","16","0"
"8","USER_ACCOUNT","322","0"
"8","USER_ROLE","15","0"