"id","code","desc","status","create_date","create_by","update_date","update_by"
"1","CREATE_PARTICIPANT","CREATE_PARTICIPANT","ACTIVE",NULL,NULL,NULL,NULL
"2","FULL_COMPANY_INFORMATION","FULL_COMPANY_INFORMATION","ACTIVE",NULL,NULL,NULL,NULL
"3","SERVICE_SETTING","SERVICE_SETTING","ACTIVE",NULL,NULL,NULL,NULL
"4","SERVICE_POOL_ASSIGNMENT","SERVICE_POOL_ASSIGNMENT","ACTIVE",NULL,NULL,NULL,NULL
"5","API_GATEWAY_SETTING","API_GATEWAY_SETTING","ACTIVE",NULL,NULL,NULL,NULL
"6","SETTLEMENT_CUT_OFF_TIME","SETTLEMENT_CUT_OFF_TIME","ACTIVE",NULL,NULL,NULL,NULL
"7","DEPOSIT","DEPOSIT","ACTIVE",NULL,NULL,NULL,NULL
"8","CASH_OUT","CASH_OUT","ACTIVE",NULL,NULL,NULL,NULL
"9","CREATE_INDIVIDUAL_MONEY_POOL","CREATE_INDIVIDUAL_MONEY_POOL","ACTIVE",NULL,NULL,NULL,NULL
"10","MONEY_POOL_STATUS_ALERT_LINE","MONEY_POOL_STATUS_ALERT_LINE","ACTIVE",NULL,NULL,NULL,NULL
"11","ADJUSTMENT","ADJUSTMENT","ACTIVE",NULL,NULL,NULL,NULL
"12","VOID_CHARGE","VOID_CHARGE","ACTIVE",NULL,NULL,NULL,NULL
"13","VOID_CHARGE_FEE","VOID_CHARGE_FEE","ACTIVE",NULL,NULL,NULL,NULL
"14","VOID_CHARGE_CHARGE_FEE","VOID_CHARGE_CHARGE_FEE","ACTIVE",NULL,NULL,NULL,NULL
"15","EXCHANGE_RATE_SETTING","EXCHANGE_RATE_SETTING","ACTIVE",NULL,NULL,NULL,NULL
"16","PARTICIPANT_CHANGE_STATUS","PARTICIPANT_CHANGE_STATUS","ACTIVE",NULL,NULL,NULL,NULL
"17","SERVICE_MARKUP","SERVICE_MARKUP","ACTIVE",NULL,NULL,NULL,NULL